iter	Passed	Remaining
541	3163	2672
542	3168	2667
543	3175	2661
544	3180	2655
545	3187	2650
546	3194	2645
547	3200	2639
548	3206	2633
549	3212	2628
550	3218	2622
551	3224	2617
552	3230	2611
553	3236	2605
554	3242	2600
555	3248	2593
556	3253	2587
557	3260	2582
558	3266	2576
559	3272	2571
560	3279	2565
561	3284	2559
562	3291	2554
563	3296	2548
564	3302	2542
565	3308	2536
566	3314	2531
567	3320	2525
568	3326	2519
569	3332	2514
570	3338	2508
571	3344	2502
572	3350	2496
573	3356	2490
574	3361	2484
575	3368	2479
576	3373	2473
577	3379	2467
578	3385	2461
579	3391	2455
580	3397	2449
581	3403	2444
582	3409	2438
583	3415	2433
584	3421	2427
585	3427	2421
586	3433	2415
587	3439	2409
588	3445	2403
589	3451	2398
590	3456	2392
591	3462	2386
592	3469	2381
593	3475	2375
594	3481	2369
595	3486	2363
596	3492	2357
597	3499	2352
598	3504	2346
599	3511	2340
600	3516	2334
601	3522	2329
602	3529	2323
603	3535	2317
604	3540	2311
605	3546	2306
606	3552	2300
607	3559	2294
608	3564	2288
609	3570	2283
610	3577	2277
611	3582	2271
612	3587	2265
613	3593	2259
614	3600	2253
615	3606	2248
616	3612	2242
617	3618	2236
618	3624	2230
619	3630	2224
620	3636	2219
621	3642	2213
622	3647	2207
623	3653	2201
624	3659	2195
625	3665	2190
626	3672	2184
627	3678	2179
628	3684	2173
629	3690	2167
630	3696	2161
631	3702	2155
632	3708	2149
633	3714	2144
634	3720	2138
635	3726	2132
636	3733	2127
637	3739	2121
638	3744	2115
639	3750	2109
640	3756	2103
641	3762	2098
642	3768	2092
643	3774	2086
644	3781	2081
645	3787	2075
646	3793	2069
647	3799	2063
648	3805	2057
649	3810	2052
650	3816	2046
651	3822	2040
652	3829	2034
653	3835	2029
654	3841	2023
655	3846	2017
656	3852	2011
657	3858	2005
658	3864	1999
659	3869	1993
660	3875	1987
661	3881	1981
662	3886	1975
663	3892	1969
664	3897	1963
665	3903	1957
666	3908	1951
667	3914	1945
668	3919	1939
669	3925	1933
670	3930	1927
671	3936	1921
672	3941	1915
673	3947	1909
674	3952	1903
675	3958	1897
676	3964	1891
677	3969	1885
678	3975	1879
679	3980	1873
680	3986	1867
681	3992	1861
682	3997	1855
683	4003	1849
684	4008	1843
685	4014	1837
686	4021	1832
687	4027	1826
688	4033	1820
689	4038	1814
690	4044	1808
691	4050	1802
692	4056	1797
693	4063	1791
694	4068	1785
695	4075	1779
696	4080	1773
697	4086	1767
698	4091	1761
699	4097	1755
700	4102	1749
701	4107	1743
702	4113	1737
703	4118	1731
704	4124	1725
705	4129	1719
706	4134	1713
707	4140	1707
708	4145	1701
709	4150	1695
710	4156	1689
711	4161	1683
712	4166	1677
713	4172	1671
714	4177	1665
715	4182	1659
716	4188	1653
717	4193	1647
718	4199	1641
719	4204	1635
720	4210	1629
721	4215	1623
722	4221	1617
723	4226	1611
724	4232	1605
725	4237	1599
726	4243	1593
727	4249	1587
728	4254	1581
729	4260	1575
730	4265	1569
731	4270	1563
732	4276	1557
733	4281	1551
734	4286	1545
735	4291	1539
736	4297	1533
737	4302	1527
738	4307	1521
739	4313	1515
740	4318	1509
741	4323	1503
742	4329	1497
743	4334	1491
744	4340	1485
745	4345	1479
746	4351	1473
747	4356	1467
748	4361	1461
749	4367	1455
750	4372	1449
751	4378	1443
752	4383	1437
753	4388	1431
754	4394	1425
755	4399	1419
756	4405	1414
757	4410	1408
758	4415	1402
759	4421	1396
760	4427	1390
761	4432	1384
762	4438	1378
763	4444	1372
764	4449	1366
765	4454	1360
766	4459	1354
767	4465	1348
768	4470	1342
769	4475	1336
770	4480	1330
771	4486	1324
772	4491	1318
773	4496	1312
774	4501	1306
775	4507	1301
776	4512	1295
777	4518	1289
778	4523	1283
